,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9
Time (raw),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts)
0.002966159,0.0931,0.1412,0.061,0.0674,0.0674,0.0176,0.0286,0.0835,0.0835
0.002976275,0.0931,0.1444,0.061,0.0674,0.0674,0.0247,0.0286,0.0835,0.0835
0.002986391,0.0931,0.1477,0.061,0.0674,0.0674,0.0176,0.0215,0.0835,0.0835
0.002996507,0.0931,0.1477,0.061,0.0674,0.0674,0.0247,0.0215,0.0867,0.0835
0.003006622,0.0931,0.1509,0.061,0.0674,0.0674,0.0176,0.0215,0.0867,0.0835
0.003016738,0.0963,0.1541,0.061,0.0674,0.0674,0.0176,0.0286,0.0867,0.0835
0.003026854,0.0931,0.1573,0.061,0.0674,0.0674,0.0176,0.0215,0.0867,0.0835
0.003036971,0.0963,0.1573,0.061,0.0674,0.0674,0.0176,0.0215,0.0867,0.0835
0.003047086,0.0963,0.1605,0.061,0.0674,0.0674,0.0247,0.0215,0.0867,0.0835
0.003057202,0.0963,0.1605,0.061,0.0674,0.0706,0.0176,0.0215,0.0867,0.0835
0.003067318,0.0963,0.1637,0.061,0.0674,0.0674,0.0176,0.0215,0.0867,0.0835
0.003077434,0.0963,0.1637,0.061,0.0674,0.0674,0.0176,0.0215,0.0867,0.0835
0.003087549,0.0963,0.1669,0.061,0.0674,0.0674,0.0247,0.0215,0.0867,0.0835
0.003097665,0.0963,0.1669,0.061,0.0674,0.0674,0.0247,0.0215,0.0867,0.0835
0.003107781,0.0963,0.1701,0.061,0.0674,0.0674,0.0247,0.0215,0.0867,0.0835
0.003117897,0.0963,0.1701,0.061,0.0674,0.0674,0.0176,0.0286,0.0867,0.0835
0.003128013,0.0963,0.1701,0.061,0.0674,0.0674,0.0176,0.0215,0.0867,0.0835
0.003138128,0.0963,0.1701,0.061,0.0674,0.0674,0.0176,0.0215,0.0867,0.0835
0.003148244,0.0963,0.1701,0.061,0.0674,0.0674,0.0176,0.0286,0.0867,0.0835
0.003158361,0.0963,0.1733,0.061,0.0674,0.0706,0.0247,0.0215,0.0867,0.0835
0.003168477,0.0963,0.1733,0.061,0.0674,0.0674,0.0176,0.0215,0.0867,0.0835
0.003178592,0.0963,0.1733,0.061,0.0674,0.0674,0.0176,0.0215,0.0867,0.0835
0.003188708,0.0963,0.1733,0.061,0.0674,0.0674,0.0176,0.0215,0.0867,0.0867
0.003198824,0.0963,0.1733,0.061,0.0674,0.0674,0.0176,0.0215,0.0867,0.0867
0.00320894,0.0963,0.1733,0.061,0.0674,0.0674,0.0176,0.0215,0.0867,0.0835
0.003219055,0.0963,0.1701,0.061,0.0674,0.0674,0.0176,0.0286,0.0867,0.0867
0.003229171,0.0963,0.1701,0.061,0.0674,0.0674,0.0247,0.0286,0.0867,0.0867
0.003239287,0.0963,0.1701,0.061,0.0706,0.0674,0.0176,0.0286,0.0867,0.0867
0.003249403,0.0963,0.1701,0.061,0.0674,0.0674,0.0247,0.0215,0.0867,0.0867
0.003259518,0.0963,0.1669,0.061,0.0706,0.0706,0.0247,0.0215,0.0867,0.0867
0.003269635,0.0963,0.1669,0.061,0.0706,0.0706,0.0247,0.0286,0.0867,0.0867
0.003279751,0.0963,0.1669,0.061,0.0706,0.0706,0.0247,0.0215,0.0867,0.0867
0.003289867,0.0963,0.1637,0.061,0.0706,0.0674,0.0176,0.0215,0.0867,0.0867
0.003299982,0.0931,0.1637,0.061,0.0706,0.0674,0.0247,0.0215,0.0867,0.0835
0.003310098,0.0963,0.1637,0.061,0.0706,0.0674,0.0247,0.0215,0.0867,0.0867
0.003320214,0.0931,0.1605,0.061,0.0706,0.0674,0.0247,0.0215,0.0867,0.0867
0.00333033,0.0931,0.1605,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0835
0.003340445,0.0931,0.1605,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0867
0.003350561,0.0931,0.1573,0.061,0.0706,0.0674,0.0176,0.0286,0.0867,0.0867
0.003360677,0.0931,0.1573,0.061,0.0706,0.0706,0.0247,0.0286,0.0867,0.0835
0.003370793,0.0931,0.1541,0.061,0.0706,0.0706,0.0176,0.0286,0.0867,0.0867
0.003380909,0.0931,0.1541,0.061,0.0706,0.0706,0.0247,0.0215,0.0867,0.0867
0.003391025,0.0931,0.1541,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0835
0.003401141,0.0931,0.1509,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0867
0.003411257,0.0931,0.1509,0.061,0.0706,0.0706,0.0247,0.0215,0.0867,0.0867
0.003421373,0.0931,0.1477,0.061,0.0706,0.0706,0.0176,0.0286,0.0867,0.0835
0.003431488,0.0931,0.1477,0.061,0.0706,0.0706,0.0247,0.0286,0.0867,0.0835
0.003441604,0.0931,0.1444,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0867
0.00345172,0.0931,0.1444,0.061,0.0706,0.0706,0.0176,0.0215,0.0835,0.0835
0.003461836,0.0931,0.1412,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0835
0.003471951,0.0931,0.1412,0.061,0.0706,0.0706,0.0247,0.0215,0.0835,0.0835
